time_step,ax_g,ay_g,az_g
186,-0.2489,-0.0112,1.0108
187,-0.1082,-0.0406,0.9728
188,-0.0427,0.0299,0.9715
189,0.0521,0.0360,0.9211
190,0.0531,-0.0001,0.9730
191,0.2769,0.0200,1.0162
192,0.3067,-0.0131,1.0718
193,0.4147,0.0008,0.9539
194,0.4601,-0.0236,1.0082
195,0.4758,0.0506,1.0444
196,0.5303,0.0077,0.9244
197,0.4769,-0.0163,0.9942
198,0.4743,-0.0634,0.9501
199,0.4001,0.0710,1.1153
