time_step,raw_x,raw_y,raw_z,smooth_x,smooth_y,smooth_z,is_outlier,norm_x,norm_y,norm_z
32,0.0698,-0.002,0.9238,4819.4568,162.6498,9486.073800000002,False,0.24097284,0.00813249,0.4743036900000001
33,0.1814,0.1136,0.984,5653.6992,265.06620000000004,9416.618999999999,False,0.28268496,0.013253310000000003,0.4708309499999999
34,0.2626,-0.0331,1.1066,638.4348000000001,179.91540000000003,9757.026,False,0.031921740000000004,0.008995770000000002,0.4878513
35,0.2987,-0.0191,0.9918,1539.189,38.25900000000005,9823.1454,False,0.07695945,0.0,0.49115727
36,0.4354,-0.0708,1.0333,2448.3798,-22.366799999999945,9887.499,False,0.12241899,0.0,0.49437495
37,0.5222,-0.0149,0.9636,3335.9885999999997,-47.676599999999965,9965.586599999999,False,0.16679942999999997,0.0,0.4982793299999999
38,0.4865,0.0092,1.0638,3934.5948,-252.5094,10122.1542,False,0.19672974,-0.01262547,0.50610771
39,0.5144,0.0041,0.8894,4428.626399999999,-179.523,9696.007799999998,False,0.22143131999999996,-0.00897615,0.48480038999999986
40,0.5281,0.0306,0.9282,4878.709199999999,-82.01160000000002,9571.2246,False,0.24393545999999997,0.0,0.47856123
41,0.456,0.0195,0.9856,4919.1264,95.157,9477.637200000001,False,0.24595632,0.0,0.47388186000000004
42,0.4626,0.0343,0.9335,4802.191199999999,191.68739999999997,9418.581000000002,False,0.24010955999999997,0.009584369999999998,0.47092905000000007
43,0.383,0.0321,0.973,4599.1242,236.61719999999997,9240.4314,False,0.22995621000000002,0.011830859999999999,0.46202157
44,0.2435,-0.0088,1.0388,4067.6184000000003,211.30739999999997,9533.554199999999,False,0.20338092000000002,0.01056537,0.4766777099999999
45,0.2187,0.0215,1.0578,3460.5756,193.45319999999998,9787.829399999999,False,0.17302878,0.00967266,0.48939146999999994
46,0.1401,-0.0056,0.9606,2840.7798,144.20699999999997,9738.7794,False,0.14203898999999998,0.007210349999999998,0.48693896999999997
47,-0.0279,-0.0079,1.0475,1878.4188,61.41059999999999,9962.447400000001,False,0.09392094,0.0,0.49812237000000004
48,-0.1409,0.0492,1.0187,850.5270000000003,94.96079999999999,10052.1108,False,0.04252635000000001,0.0,0.50260554
49,-0.1626,0.0526,0.9897,53.758800000000065,215.42759999999998,9955.776600000001,False,0.0,0.010771379999999999,0.49778883000000007
50,-0.366,0.0737,1.017,-1093.4226,317.844,9875.727,False,-0.054671130000000005,0.0158922,0.49378635000000004
51,-0.3464,0.003,0.8796,-2047.9356,334.7172,9716.804999999998,False,-0.10239678,0.016735859999999998,0.4858402499999999
52,-0.4446,-0.0261,0.9559,-2865.5009999999997,299.0088,9537.0858,False,-0.14327505,0.01495044,0.47685429
53,-0.4701,0.0523,0.9826,-3511.3914000000004,305.09100000000007,9466.2576,False,-0.17556957,0.015254550000000004,0.47331288000000005
54,-0.419,0.0257,1.0591,-4014.4482000000003,252.3132,9602.4204,False,-0.20072241000000002,0.012615659999999999,0.48012102000000006
55,-0.483,0.0667,1.0997,-4244.0022,238.5792,9764.6778,False,-0.21220011,0.011928959999999999,0.48823388999999995
56,-0.4943,0.0472,1.0234,-4534.181999999999,325.29959999999994,10046.8134,False,-0.22670909999999994,0.01626498,0.5023406699999999
57,-0.42,-0.109,1.0672,-4485.9168,162.6498,10265.184,False,-0.22429584,0.00813249,0.5132591999999999
58,-0.4837,-0.0478,0.954,-4512.6,-33.746400000000015,10209.0708,False,-0.22563000000000002,0.0,0.51045354
59,-0.3498,-0.0117,0.9223,-4376.8296,-107.12520000000002,9940.6692,False,-0.21884148,-0.005356260000000001,0.49703346000000004
60,-0.2941,-0.0619,1.0015,-4006.207799999999,-359.4384,9748.0008,False,-0.20031038999999995,-0.01797192,0.48740004
61,-0.1408,-0.0069,0.9895,-3312.6407999999997,-465.5826,9681.489,False,-0.16563203999999998,-0.023279130000000002,0.48407445
62,-0.1261,0.0049,0.9766,-2736.0089999999996,-242.1108,9503.7318,False,-0.13680045,-0.012105540000000001,0.47518658999999996
63,0.029,-0.0213,0.9937,-1730.0915999999997,-190.1178,9581.623200000002,False,-0.08650457999999998,-0.00950589,0.4790811600000001
64,0.1116,0.0265,1.0324,-824.8248,-115.1694,9797.6394,False,-0.04124124,-0.00575847,0.48988197
65,0.2527,-0.0348,0.9695,247.99679999999995,-61.999199999999995,9734.855399999999,False,0.012399839999999997,0.0,0.48674276999999994
66,0.3272,-0.0038,1.0583,1166.2128,-55.91700000000001,9869.841,False,0.058310640000000004,0.0,0.49349205
67,0.3253,-0.0379,1.035,2051.8596,-139.8906,9984.4218,False,0.10259297999999999,-0.0069945300000000005,0.49922109
68,0.4107,-0.042,0.975,2800.755,-180.504,9947.732399999999,False,0.14003775000000002,-0.009025199999999999,0.49738661999999995
69,0.466,0.0018,1.1317,3496.0878,-228.96540000000005,10142.559,False,0.17480438999999998,-0.011448270000000002,0.50712795
70,0.435,0.0725,0.9872,3853.7604000000006,-18.442800000000034,10177.2864,False,0.19268802000000002,0.0,0.50886432
71,0.543,-0.0383,1.0602,4277.16,-86.13180000000003,10181.0142,False,0.213858,0.0,0.50905071
72,0.5369,0.0018,1.0068,4692.3192,-8.240400000000026,10125.6858,False,0.23461595999999998,0.0,0.50628429
73,0.4342,-0.0273,1.001,4738.4262,20.60099999999999,10176.697799999998,False,0.23692131,0.0,0.5088348899999999
74,0.4022,0.0772,1.0035,4613.2506,168.53579999999997,9925.169399999999,False,0.23066253,0.008426789999999998,0.49625846999999995
75,0.3192,0.0304,1.0396,4386.0509999999995,85.93560000000001,10027.9782,False,0.21930254999999998,0.0,0.50139891
76,0.1244,0.0012,0.9868,3564.7578000000003,163.43460000000002,9883.9674,False,0.17823789,0.00817173,0.49419837
77,0.264,0.0026,1.004,3029.3279999999995,165.0042,9878.4738,False,0.15146639999999997,0.00825021,0.49392368999999997
78,0.1234,-0.0237,0.9516,2419.5384,172.06740000000002,9781.551000000001,False,0.12097692,0.00860337,0.4890775500000001
79,-0.0223,0.0328,1.03,1586.6694000000002,84.9546,9833.544,False,0.07933347000000002,0.0,0.4916772
80,-0.2075,0.1235,0.963,553.284,267.6168,9683.254799999999,False,0.0276642,0.01338084,0.4841627399999999
81,-0.2546,0.0405,0.9726,-190.31399999999985,344.7234,9655.394400000001,False,-0.009515699999999993,0.017236170000000002,0.48276972000000007
82,-0.2876,-0.0492,1.0154,-1272.5531999999998,243.0918,9677.761199999999,False,-0.06362765999999999,0.01215459,0.48388805999999995
83,-0.4518,0.1159,0.9779,-2401.0955999999996,516.9870000000001,9729.3618,False,-0.12005477999999999,0.025849350000000004,0.48646809
84,-0.4441,0.0229,1.0606,-3228.6672,497.56320000000005,9789.399,False,-0.16143336,0.024878160000000003,0.48946995
85,-0.43,0.0223,0.9399,-3665.2121999999995,299.00879999999995,9744.076799999999,False,-0.18326060999999996,0.014950439999999997,0.48720383999999994
86,-0.6048,0.0083,0.9489,-4352.3045999999995,235.8324,9697.5774,False,-0.21761522999999997,0.011791620000000001,0.48487887
87,-0.5038,-0.0347,0.9571,-4776.489,264.2814,9583.192799999999,False,-0.23882444999999997,0.013214070000000001,0.47915963999999994
88,-0.4921,-0.0551,1.036,-4855.5576,-71.22060000000002,9697.185000000001,False,-0.24277788,0.0,0.4848592500000001
89,-0.448,-0.0387,1.0356,-4863.209400000001,-192.07980000000003,9648.135,False,-0.24316047000000005,-0.009603990000000001,0.48240675
90,-0.4351,-0.075,1.0165,-4873.2156,-382.9824,9798.4242,False,-0.24366078000000002,-0.01914912,0.48992121
91,-0.2898,-0.0126,0.9955,-4255.1856,-423.98819999999995,9889.853400000002,False,-0.21275928,-0.02119941,0.4944926700000001
92,-0.2703,0.0728,1.0096,-3797.0586000000003,-213.07319999999999,9992.858400000001,False,-0.18985293,-0.010653659999999999,0.49964292000000005
93,-0.1076,-0.0416,0.9373,-3042.6696,-186.5862,9799.209,False,-0.15213348000000002,-0.00932931,0.48996045000000005
94,-0.109,0.0082,0.9729,-2377.5516000000002,-94.5684,9676.1916,False,-0.11887758000000001,0.0,0.48380958
95,0.0207,0.0014,1.058,-1483.2720000000002,55.3284,9757.6146,False,-0.07416360000000001,0.0,0.48788073000000004
96,0.1309,0.019,1.0569,-657.8585999999999,117.32759999999999,9878.0814,False,-0.032892929999999994,0.005866379999999999,0.49390407
97,3.2781,0.0869,1.0915,6304.102199999999,144.9918,10038.769199999999,True,0.31520510999999996,0.00724959,0.50193846
98,0.2586,0.0949,1.1245,7022.5866,412.8048,10406.0556,True,0.35112932999999996,0.02064024,0.52030278
99,0.4333,0.0502,1.0117,8086.5792,495.2088,10482.1812,True,0.40432896,0.024760439999999998,0.52410906
100,0.4319,-0.063,0.8695,8893.353599999999,368.856,10112.3442,False,0.44466767999999995,0.0184428,0.5056172099999999
101,3.4581,0.0311,0.9643,15421.320000000002,392.59620000000007,9930.663,True,0.771066,0.019629810000000004,0.49653315000000003
102,0.4968,-0.0674,0.9596,9964.4094,89.85960000000004,9671.8752,False,0.49822047,0.0,0.48359376000000004
103,3.5068,0.0234,1.0305,16337.377799999998,-50.42339999999999,9487.4472,True,0.81686889,0.0,0.47437236000000005
104,0.4946,-0.0259,1.0111,16457.6484,-199.7316,9486.27,False,0.8228824199999999,-0.00998658,0.4743135
105,0.3452,-0.0202,0.9119,16287.543,-115.758,9569.458800000002,False,0.81437715,-0.0057878999999999995,0.4784729400000001
106,0.3008,0.0516,0.9916,10092.920399999999,-75.537,9623.021400000001,False,0.5046460199999999,0.0,0.48115107000000007
107,0.3088,0.0686,1.0185,9724.0644,191.295,9738.5832,False,0.48620322,0.009564749999999999,0.48692915999999997
108,0.2102,-0.0717,0.951,3256.1351999999997,4.7087999999999965,9582.6042,False,0.16280676,0.0,0.47913021
109,0.072,-0.0623,1.1175,2426.9939999999997,-66.70800000000001,9791.360999999999,False,0.12134969999999999,0.0,0.4895680499999999
110,0.1095,-0.0282,1.1274,1964.5505999999998,-82.40400000000002,10214.171999999999,False,0.09822753,0.0,0.5107086
111,-0.0794,-0.0061,1.0418,1218.5982,-195.61140000000003,10312.6644,False,0.06092991,-0.009780570000000002,0.51563322
112,-0.1155,-0.0431,1.0313,386.1215999999999,-414.7668,10337.778,False,0.019306079999999993,-0.02073834,0.5168889
113,-0.2474,-0.0227,0.9689,-511.68960000000004,-318.62880000000007,10372.8978,False,-0.025584480000000003,-0.015931440000000005,0.51864489
114,-0.4242,-0.0283,0.9791,-1485.234,-251.9208,10101.357,False,-0.0742617,-0.012596040000000001,0.50506785
115,-0.3906,-0.0796,0.9793,-2466.4302,-352.7676,9810.7848,False,-0.12332151,-0.017638380000000002,0.49053924
116,-0.5246,0.0491,1.0419,-3339.9126000000006,-244.46520000000004,9810.981,False,-0.16699563000000003,-0.012223260000000001,0.49054905
117,-0.4384,0.0275,1.0467,-3973.4424,-105.94800000000002,9841.1958,False,-0.19867212,-0.005297400000000001,0.49205979
118,-0.5052,0.0349,0.9483,-4479.246,7.063200000000006,9800.7786,False,-0.2239623,0.0,0.49003893
119,-0.426,0.0498,1.0609,-4482.777599999999,160.29539999999997,9961.270200000003,False,-0.22413887999999998,0.00801477,0.49806351000000015
120,-0.4901,0.0124,1.1028,-4677.9966,340.7994,10203.577200000002,False,-0.23389983000000003,0.017039969999999998,0.5101788600000001
121,-0.4217,-0.0952,0.917,-4476.1068,57.6828,9958.5234,False,-0.22380534,0.0,0.49792617
122,2.6691,-0.0394,1.0143,1620.8081999999995,-73.57500000000002,9894.954600000001,False,0.08104040999999998,0.0,0.49474773000000005
123,-0.2367,0.1377,0.9985,2147.6052,128.11859999999996,9993.447,False,0.10738026,0.006405929999999998,0.49967235
124,-0.1861,0.0269,0.9538,2618.2889999999998,83.18880000000001,9783.316799999999,False,0.13091445,0.0,0.4891658399999999
125,-0.0315,-0.0079,0.9748,3518.0621999999994,43.360200000000006,9532.1808,False,0.17590310999999997,0.0,0.47660904
126,0.0846,-0.0293,0.9742,4511.422799999999,172.656,9644.4072,False,0.22557113999999998,0.0086328,0.48222035999999996
127,0.1005,-0.1013,1.0637,-528.1704,51.20820000000001,9741.330000000002,False,-0.026408519999999998,0.0,0.48706650000000007
128,0.2267,0.0336,0.9403,381.02040000000005,-153.036,9627.1416,False,0.019051020000000002,-0.0076518,0.48135708000000005
129,0.2729,-0.0191,1.068,1281.5783999999999,-243.288,9851.202000000001,False,0.06407892,-0.0121644,0.49256010000000006
130,0.3377,-0.0716,1.0823,2005.9488000000001,-368.26740000000007,10062.117000000002,False,0.10029744,-0.018413370000000002,0.5031058500000001
131,0.4227,-0.0313,1.0063,2669.301,-372.1914,10125.0972,False,0.13346505,-0.01860957,0.50625486
132,0.5163,0.0312,1.0153,3485.1006,-112.22639999999998,10030.136400000001,False,0.17425503,-0.0056113199999999995,0.50150682
133,0.4468,-0.044,0.8964,3916.9368000000004,-264.4776,9944.0046,False,0.19584684000000002,-0.01322388,0.49720023
134,0.5057,-0.0364,1.0353,4373.6904,-298.42019999999997,9879.8472,False,0.21868452000000002,-0.014921009999999998,0.49399236
135,0.5194,-0.0558,1.0467,4730.1858,-267.42060000000004,9810.000000000002,False,0.23650929,-0.013371030000000002,0.4905000000000001
136,0.3829,-0.0424,1.0191,4652.098199999999,-289.1988,9835.1136,False,0.23260490999999997,-0.014459940000000001,0.49175568000000003
137,0.2987,0.0008,0.9221,4225.1669999999995,-348.8436,9652.2552,False,0.21125834999999998,-0.017442179999999998,0.48261276
138,0.3183,0.0855,1.0696,3973.05,-94.76459999999997,9992.0736,False,0.1986525,0.0,0.49960368
139,0.2038,-0.0295,0.9736,3380.7222,-81.2268,9871.0182,False,0.16903611000000002,0.0,0.49355091
140,0.1443,-0.1016,1.0615,2644.7760000000003,-171.08639999999997,9900.0558,False,0.13223880000000002,-0.008554319999999999,0.49500279
141,0.0987,-0.0337,0.9992,2087.1756,-154.01699999999997,9861.012,False,0.10435878,-0.007700849999999999,0.4930506
142,-0.046,0.0434,0.9883,1410.8742,-70.43579999999994,9990.896400000001,False,0.07054371,0.0,0.49954482000000006
143,-0.1108,-0.0993,1.0237,568.98,-433.0134,9900.8406,False,0.028449000000000002,-0.02165067,0.49504202999999997
144,-0.2161,-0.0367,1.0199,-254.86379999999994,-447.13980000000004,9991.6812,False,-0.012743189999999996,-0.02235699,0.49958406000000005
145,-0.3222,0.0,0.9518,-1170.1367999999998,-247.80060000000003,9776.449799999999,False,-0.05850683999999999,-0.012390030000000002,0.48882248999999994
146,-0.4375,0.1027,1.0389,-2222.1611999999996,19.81619999999998,9854.341199999999,False,-0.11110805999999998,0.0,0.49271705999999993
147,-0.3466,0.0838,0.9588,-2811.9384,99.08099999999997,9796.4622,False,-0.14059692,0.0,0.48982311
148,-0.4564,0.0393,0.977,-3490.0055999999995,371.01419999999996,9704.8368,False,-0.17450027999999998,0.018550709999999998,0.48524184
149,-0.437,0.0127,1.0367,-3923.4114,467.937,9737.7984,False,-0.19617057,0.02339685,0.48688992
150,2.4783,0.014,1.0032,1571.1695999999997,495.40500000000003,9838.645199999999,False,0.07855847999999999,0.02477025,0.49193225999999995
151,-0.5858,0.0143,1.0128,1280.2049999999995,321.9642,9787.437,False,0.06401024999999998,0.01609821,0.48937185
152,-0.4404,0.014,0.9918,1096.1693999999995,185.0166,9852.182999999999,False,0.05480846999999998,0.00925083,0.49260914999999994
153,-0.3648,0.0694,0.9303,1275.8885999999995,244.0728,9760.5576,False,0.06379442999999997,0.01220364,0.48802788
154,-0.3098,0.0492,1.0052,1525.4549999999995,315.68580000000003,9698.7546,False,0.07627274999999997,0.015784290000000003,0.48493773
155,-0.1955,-0.0504,1.0107,-3720.5406000000003,189.33300000000003,9713.4696,False,-0.18602703,0.009466650000000002,0.48567348
156,-0.0776,0.1152,1.0549,-2723.4522,387.2988,9796.069800000001,False,-0.13617261,0.01936494,0.48980349000000006
157,-0.0189,0.0185,0.9985,-1896.4692,396.12780000000004,9809.2152,False,-0.09482346,0.01980639,0.49046076000000005
158,0.0852,-0.0042,0.9304,-1013.5692000000001,251.7246,9809.4114,False,-0.05067846000000001,0.01258623,0.49047057000000005
159,0.1836,-0.0029,0.9188,-45.51839999999997,149.50440000000003,9639.8946,False,0.0,0.007475220000000002,0.48199473
160,0.2605,-0.0138,1.0408,849.1536,221.3136,9698.9508,False,0.04245768,0.01106568,0.48494754
161,0.2642,0.0192,1.0235,1519.7652,32.9616,9637.344000000001,False,0.07598826,0.0,0.48186720000000005
162,0.4119,-0.0048,0.9987,2364.9948,-12.753000000000004,9637.7364,False,0.11824973999999999,0.0,0.48188682
163,0.4587,0.0347,0.9305,3097.8018,63.56880000000001,9637.9326,False,0.15489009,0.0,0.48189663
164,0.4581,0.0577,1.0325,3636.3707999999997,182.466,9861.011999999999,False,0.18181853999999997,0.0091233,0.49305059999999995
165,0.5286,-0.0055,0.9261,4162.383,198.75060000000002,9635.9706,False,0.20811915,0.009937530000000002,0.48179853
166,0.3783,0.0436,1.0791,4386.2472,246.62340000000003,9745.057799999999,False,0.21931235999999998,0.012331170000000002,0.48725288999999994
167,0.4871,0.0159,0.9915,4533.7896,287.2368,9730.9314,False,0.22668948,0.01436184,0.48654656999999996
168,0.3945,-0.0967,1.0488,4407.8292,29.430000000000017,9963.035999999998,False,0.22039146,0.0,0.4981517999999999
169,3.2883,0.0735,1.0881,9960.6816,60.42960000000001,10072.123199999998,True,0.49803408,0.0,0.5036061599999999
170,0.2447,-0.0116,1.0608,9403.6698,48.46140000000001,10336.4046,True,0.47018349,0.0,0.51682023
171,0.1586,0.0553,1.0466,8972.6184,71.41680000000002,10272.639599999999,False,0.44863092,0.0,0.5136319799999999
172,0.0386,0.0479,1.0153,8092.6614,134.20080000000002,10319.3352,False,0.40463307,0.0067100400000000004,0.51596676
173,-0.008,0.0052,0.9729,7302.9564,334.12859999999995,10170.4194,False,0.36514782,0.016706429999999998,0.5085209700000001
174,-0.0996,-0.0493,0.9746,655.8966,93.195,9947.7324,False,0.032794830000000004,0.0,0.49738662000000006
175,-0.2203,0.0881,0.9742,-256.4334,288.8064,9777.8232,False,-0.01282167,0.01444032,0.48889116000000005
176,-0.2512,0.0627,0.9428,-1060.461,303.32520000000005,9574.1676,False,-0.05302305,0.015166260000000003,0.47870838000000004
177,-0.3753,0.0345,0.9899,-1872.5328000000002,277.0344,9524.3328,False,-0.09362664000000001,0.01385172,0.47621664
178,-0.3985,-0.0023,0.9084,-2638.6938,262.31940000000003,9397.783800000001,False,-0.13193469,0.013115970000000001,0.46988919000000007
179,-0.4068,0.0237,1.0066,-3241.4202,405.54540000000003,9460.5678,False,-0.16207101,0.02027727,0.47302839
180,-0.4652,0.0005,1.0117,-3721.9139999999998,233.6742,9534.1428,False,-0.18609569999999998,0.01168371,0.47670714
181,-0.4733,-0.0378,1.0096,-4157.6742,36.4932,9665.204399999999,False,-0.20788371000000003,0.0,0.48326021999999996
182,-0.5317,0.0281,1.0341,-4464.531,23.936400000000003,9751.9248,False,-0.22322655,0.0,0.48759624
183,-0.4803,0.0156,0.9883,-4625.022599999999,59.056200000000004,9908.6886,False,-0.23125112999999997,0.0,0.49543443
184,-0.4047,-0.0831,1.0023,-4620.9024,-150.48539999999997,9900.252,False,-0.23104512,-0.007524269999999999,0.4950126
185,-0.2904,-0.0446,0.9458,-4277.9448,-238.9716,9770.9562,False,-0.21389724000000002,-0.01194858,0.48854781
186,-0.2489,-0.0112,1.0108,-3837.672,-186.7824,9773.310599999999,False,-0.1918836,-0.00933912,0.48866552999999996
187,-0.1082,-0.0406,0.9728,-3006.7650000000003,-321.5718,9653.039999999999,False,-0.15033825,-0.01607859,0.48265199999999997
188,-0.0427,0.0299,0.9715,-2148.1938000000005,-293.5152,9620.078399999999,False,-0.10740969000000003,-0.01467576,0.4810039199999999
189,0.0521,0.036,0.9211,-1251.9522000000002,-59.84100000000001,9460.764,False,-0.06259761000000001,0.0,0.47303819999999996
190,0.0531,-0.0001,0.973,-578.0052000000001,27.468000000000007,9514.130399999998,False,-0.028900260000000004,0.0,0.4757065199999999
191,0.2769,0.02,1.0162,453.61439999999993,88.6824,9524.725199999999,False,0.022680719999999998,0.0,0.47623625999999997
192,0.3067,-0.0131,1.0718,1267.6482,142.6374,9718.9632,False,0.06338241,0.007131870000000001,0.48594816
193,0.4147,0.0008,0.9539,2165.067,85.54320000000001,9684.431999999999,False,0.10825335,0.0,0.4842215999999999
194,0.4601,-0.0236,1.0082,2965.563,-31.391999999999996,9855.3222,False,0.14827815,0.0,0.49276611000000003
195,0.4758,0.0506,1.0444,3794.9004,68.0814,9995.409,False,0.18974502,0.0,0.49977045
196,0.5303,0.0077,0.9244,4292.0712,43.9488,9815.2974,False,0.21460356000000003,0.0,0.49076486999999996
197,0.4769,-0.0163,0.9942,4626.0036,37.6704,9663.0462,False,0.23130018,0.0,0.48315231000000003
198,0.4743,-0.0634,0.9501,4742.938799999999,-88.28999999999999,9655.5906,False,0.23714693999999995,0.0,0.48277952999999996
199,0.4001,0.071,1.1153,4625.2188,97.3152,9865.7208,False,0.23126093999999997,0.0,0.49328604
